element_name,element_class_sfb_mmg,worksection_class_sfb_mmg,worksection_name,activity_name,techflow_name,LCS_name,LCM_code,LCM_nest1_code,LCM_nest2_code,activity_type,techflow_unit,techflow_amount,indicator_GWP,indicator_PM,indicator_EP,indicator_old,indicator_aci,indicator_pof,indicator_dare,indicator_darf,indicator_HTc,indicator_HTnc,indicator_irhh,indicator_ecofw,indicator_ws,indicator_luosom,indicator_luobio,indicator_luourb,indicator_luoagr,indicator_luofor,indicator_lutsom,indicator_lutbio,indicator_luturb,indicator_lutagr
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact material,A1-3: Product stage,A1-3,A1-3,-,Material in,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,A4,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,A4,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,A4,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,A4,Transport to site,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,C2,Transport EOL,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,C2,Transport EOL,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,C2,Transport EOL,tkm,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact sorting,A4-5: Construction process stage,A5,A5,C3,Process,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact landfilling,A4-5: Construction process stage,A5,A5,C4,Process,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact incineration,A4-5: Construction process stage,A5,A5,C4,Process,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact sorting,A4-5: Construction process stage,A5,A5,C4,Process,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(21.1/0)Gi - AA - 1000,External wall - loadbearing | Demolition | Panel | Wood (per m²),no impact,No impact material,A4-5: Construction process stage,A5,A5,A1-3,Material loss,kg,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
